id,date,current_role,other_role_specified,current_salary,education,age,gender,ethnicity,location,other_location_specified
62a35541f3072dd892625517,2022-06-10,Data Analyst,NA,53000,Bachelors,32,Male,White or Caucasian,United Kingdom,NA
62a355445d257a28a30dab12,2022-06-10,Data Analyst,NA,53000,Bachelors,29,Male,Asian or Asian American,United States,NA
62a35631cf25554317303425,2022-06-10,Data Analyst,NA,53000,Masters,26,Female,White or Caucasian,Other,Australia
62a357390a77c1a77f65f189,2022-06-10,Data Engineer,NA,53000,Masters,37,Male,White or Caucasian,Canada,NA
62a3578b0a77c1a77f65f279,2022-06-10,Data Analyst,NA,53000,Bachelors,25,Male,White or Caucasian,United States,NA
62a357d30f8c8599d5af4ea3,2022-06-10,Data Analyst,NA,20000,High School,24,Male,White or Caucasian,Other,Israel
62a3582e575fa3a5ae88e506,2022-06-10,Other,Manager of a team of Data Analysts,137500,Bachelors,52,Male,White or Caucasian,United States,NA
62a35878575fa3a5ae88e5d5,2022-06-10,Data Analyst,NA,53000,Bachelors,27,Male,Asian or Asian American,Other,Singapore
62a35981bae91e4b8b8323dd,2022-06-10,Data Analyst,NA,115500,Masters,29,Female,White or Caucasian,United States,NA
62a35a2c7dc029e2d66c2519,2022-06-10,Student/Looking/None,NA,20000,Associates,42,Male,White or Caucasian,Other,Brazil
62a35aa2f8d5efcc22f8075d,2022-06-10,Data Analyst,NA,53000,Masters,28,Male,White or Caucasian,United States,NA
62a35ababae91e4b8b83269d,2022-06-10,Data Analyst,NA,20000,Bachelors,44,Male,Hispanic or Latino,Other,Costa Rica
62a35ae0575fa3a5ae88ea98,2022-06-10,Data Engineer,NA,20000,Bachelors,23,Male,White or Caucasian,Other,Spain
62a35ae87dc029e2d66c279b,2022-06-10,Data Analyst,NA,53000,Bachelors,27,Male,Hispanic or Latino,United States,NA
62a35b13bc6861bf31770188,2022-06-10,Data Analyst,NA,75500,Masters,26,Male,White or Caucasian,United States,NA
62a35b72f408bae018ed76a8,2022-06-10,Data Analyst,NA,95500,Masters,27,Male,Hispanic or Latino,United States,NA
62a35b965d257a28a30db899,2022-06-10,Data Analyst,NA,75500,Bachelors,33,Male,Asian or Asian American,Canada,NA
62a35ba3f3072dd892626068,2022-06-10,Data Analyst,NA,75500,Bachelors,28,Male,Hispanic or Latino,United States,NA
62a35c890a77c1a77f65fdfa,2022-06-10,Data Analyst,NA,20000,Bachelors,32,Male,Black or African American,Other,Kenya
62a35d8f575fa3a5ae88efd6,2022-06-10,Student/Looking/None,NA,53000,Associates,34,Male,Asian or Asian American,Canada,NA
62a35d95cf25554317304386,2022-06-10,Data Analyst,NA,187500,Bachelors,28,Male,Asian or Asian American,United States,NA
62a35e970a77c1a77f66035a,2022-06-10,Data Scientist,NA,137500,Bachelors,27,Male,Other,India,NA
62a35eabf408bae018ed7cbc,2022-06-10,Data Engineer,NA,53000,Bachelors,22,Male,White or Caucasian,United States,NA
62a35f0d24a2626027386a8b,2022-06-10,Data Analyst,NA,75500,Masters,29,Male,White or Caucasian,United States,NA
62a35f825d257a28a30dc128,2022-06-10,Data Analyst,NA,75500,Masters,31,Female,White or Caucasian,United States,NA
62a35fa0f8f7561645856c35,2022-06-10,Data Analyst,NA,75500,Bachelors,28,Male,White or Caucasian,United States,NA
62a35fc1f8f7561645856c98,2022-06-10,Student/Looking/None,NA,20000,Masters,24,Male,Asian or Asian American,United States,NA
62a3602318134ddc75ced6b9,2022-06-10,Data Analyst,NA,95500,Masters,34,Male,White or Caucasian,United States,NA
62a360b8f8f7561645856ec4,2022-06-10,Data Engineer,NA,95500,Bachelors,23,Male,White or Caucasian,United States,NA
62a360dbd8c00e9f541a16cf,2022-06-10,Student/Looking/None,NA,53000,Masters,32,Male,White or Caucasian,Other,Belgium
62a36146f8f7561645856ff7,2022-06-10,Data Analyst,NA,20000,High School,29,Male,Hispanic or Latino,Other,Argentina
62a361af0f8c8599d5af6277,2022-06-10,Data Analyst,NA,20000,Bachelors,34,Male,Black or African American,Other,Nigeria
62a361cc575fa3a5ae88f908,2022-06-10,Data Analyst,NA,75500,Bachelors,24,Male,White or Caucasian,United Kingdom,NA
62a3620f0f8c8599d5af63a5,2022-06-10,Other,Analyst,75500,Bachelors,30,Male,Other,United States,NA
62a36251d8c00e9f541a199e,2022-06-10,Other,Analytics Engineer,95500,Masters,24,Male,Hispanic or Latino,United States,NA
62a36275bc6861bf31771183,2022-06-10,Data Analyst,NA,53000,Bachelors,27,Male,Other,United States,NA
62a3636c2e54c9003e536e6b,2022-06-10,Data Analyst,NA,20000,Bachelors,21,Male,Asian or Asian American,India,NA
62a365c2f8d5efcc22f81e2e,2022-06-10,Data Analyst,NA,20000,Masters,31,Male,Black or African American,Other,UAE
62a365d5d8c00e9f541a20cf,2022-06-10,Data Analyst,NA,20000,Bachelors,41,Male,White or Caucasian,Other,Egypt
62a3670b575fa3a5ae890422,2022-06-10,Data Analyst,NA,20000,Bachelors,25,Male,Asian or Asian American,India,NA
62a3676bb4da29969c633ac7,2022-06-10,Data Analyst,NA,20000,Bachelors,24,Male,Black or African American,Other,Nigeria 
62a36794b4da29969c633b48,2022-06-10,Data Analyst,NA,20000,Masters,30,Male,Other,Other, Somalia
62a367d224a2626027387b56,2022-06-10,Data Analyst,NA,187500,Bachelors,33,Male,White or Caucasian,United States,NA
